288, Chris Wrede, 634, 8/1/2021
289, Angla Kroger, 69.08, 8/1/2021
290, Hanh Hennigan, 816, 8/1/2021
291, Ashlee Holmes, 54.15, 8/2/2021
292, Nora Nosal, 52.31, 8/2/2021
293, Catharine Dyer, 36.88, 8/3/2021
294, Angelyn Cavalier, 71.41, 8/3/2021
295, Ashlyn Wagers, 15.36, 8/4/2021
296, Norene Pemberton, 372, 8/4/2021
297, Ashlyn Wagers, 85.39, 8/4/2021
298, Belia Baillie, 37.2, 8/4/2021
299, Etha Beall, 1424, 8/5/2021
300, Truman Lady, 60.07, 8/5/2021
301, Alisa Fergerson, 29.53, 8/5/2021
302, Afton Ridgley, 70.29, 8/5/2021
303, Afton Ridgley, 58.21, 8/6/2021
304, Arnold Oatman, 81.9, 8/6/2021
305, Mariam Weeks, 58.51, 8/6/2021
306, Tyrone Putnam, 65.73, 8/7/2021
307, Marlana Fonte, 85.3, 8/7/2021
308, Karmen Byrum, 53.85, 8/7/2021
309, Karmen Byrum, 214, 8/8/2021
310, Arnold Oatman, 71.02, 8/8/2021
311, Jocelyn Vose, 16.97, 8/9/2021
312, Gerardo Dickson, 393, 8/9/2021
313, Kurtis Chmura, 60.5, 8/9/2021
314, Cleta Gerken, 43.17, 8/9/2021
315, Sharron Moorehead, 48, 8/10/2021
316, Alisa Fergerson, 51.38, 8/10/2021
317, Zoila Langevin, 77.1, 8/10/2021
318, Wynell Alto, 77.15, 8/10/2021
319, Hanh Hennigan, 88.86, 8/10/2021
320, Catharine Dyer, 55.28, 8/10/2021
321, Willis Basham, 16.49, 8/11/2021
322, Tara Dewey, 1717, 8/11/2021
323, Gregg Dayton, 89.17, 8/11/2021
324, Cleta Gerken, 799, 8/11/2021
325, Emelina Mclaren, 86.99, 8/12/2021
326, Lamar Bravo, 49, 8/12/2021
327, Nilsa Anspach, 42.66, 8/12/2021
328, Tanisha Pease, 49.84, 8/12/2021
329, Nora Nosal, 66.21, 8/12/2021
330, Dale Ng, 238, 8/13/2021
331, Racheal Bedsole, 46.9, 8/13/2021
332, Angelyn Cavalier, 13.71, 8/13/2021
333, Rosalia Reddix, 32.31, 8/13/2021
334, Karmen Byrum, 79.3, 8/13/2021
335, Wynell Alto, 43.86, 8/13/2021
336, Arnold Oatman, 37.15, 8/14/2021
337, Willis Basham, 72.42, 8/14/2021
338, Catharine Dyer, 475, 8/14/2021
339, Lisandra Defilippo, 80.4, 8/14/2021
340, Norene Pemberton, 68.59, 8/14/2021
341, Berneice Orchard, 73.1, 8/14/2021
342, Truman Lady, 57.41, 8/14/2021
343, Truman Lady, 87.59, 8/15/2021
344, Alisa Fergerson, 58.14, 8/15/2021
345, Wynell Alto, 13.11, 8/15/2021
346, Mitsue Lofland, 1977, 8/15/2021
347, Berneice Orchard, 78.38, 8/15/2021
348, Wynell Alto, 59.73, 8/15/2021
349, Etha Beall, 20.88, 8/16/2021
350, Ashlee Holmes, 41, 8/16/2021
351, Leo Jelley, 56.36, 8/16/2021
352, Chelsie Courville, 131, 8/16/2021
353, Lou Ellithorpe, 70.99, 8/16/2021
354, Beverly Millsap, 26.61, 8/16/2021
355, Valencia Foxwell, 1199, 8/17/2021
356, Angla Kroger, 1449, 8/17/2021
357, Angla Riehl, 65.67, 8/17/2021
358, Cleta Gerken, 69.77, 8/18/2021
359, Brinda Shiley, 1141, 8/18/2021
360, Claudette Lipari, 233, 8/18/2021
361, Brinda Shiley, 36.17, 8/18/2021
362, Lamar Bravo, 79.97, 8/19/2021
363, Susann Calixte, 85.42, 8/20/2021
364, Emilio Curtiss, 34.06, 8/20/2021
365, Ramona Blasingame, 63.47, 8/20/2021
366, Norene Pemberton, 1565, 8/21/2021
367, Isidro Forsberg, 51.11, 8/21/2021
368, Catharine Dyer, 78, 8/21/2021
369, Johnna Gummer, 1611, 8/21/2021
370, Ashlyn Wagers, 85.25, 8/21/2021
371, Kurtis Chmura, 58.79, 8/21/2021
372, Alisa Fergerson, 60.37, 8/21/2021
373, Angla Kroger, 45.91, 8/22/2021
374, Nora Nosal, 115, 8/22/2021
375, Karmen Byrum, 81.8, 8/22/2021
376, Catharine Dyer, 88.07, 8/22/2021
377, Melva Burman, 1978, 8/23/2021
378, Karan Schoen, 80.47, 8/23/2021
379, Rosalia Reddix, 88.81, 8/23/2021
380, Trudy Ringgold, 406, 8/23/2021
381, Zoila Langevin, 86.74, 8/24/2021
382, Cleta Gerken, 56.39, 8/24/2021
383, Tara Dewey, 4.47, 8/25/2021
384, Hanh Hennigan, 28.98, 8/25/2021
385, Claudette Lipari, 1807, 8/25/2021
386, Alisa Fergerson, 62.42, 8/26/2021
387, Lou Ellithorpe, 42.43, 8/26/2021
388, Nilsa Anspach, 34.47, 8/26/2021
389, Tanisha Pease, 70.31, 8/26/2021
390, Afton Ridgley, 72.06, 8/27/2021
391, Gerardo Dickson, 62.64, 8/27/2021
392, Berneice Orchard, 1000, 8/27/2021
393, Karmen Byrum, 64.22, 8/27/2021
394, Ramona Blasingame, 71.16, 8/27/2021
395, Angla Kroger, 77.9, 8/27/2021
396, Karan Schoen, 27.06, 8/28/2021
397, Arnold Oatman, 1374, 8/28/2021
398, Cleta Gerken, 88.63, 8/28/2021
399, Tanisha Pease, 691, 8/29/2021
400, Dale Ng, 69.94, 8/29/2021
401, Milton Manly, 65.18, 8/29/2021
402, Lou Ellithorpe, 81.83, 8/30/2021
403, Van Icenhour, 24.41, 8/30/2021
404, Sharron Moorehead, 837, 8/30/2021
405, Willis Basham, 78.92, 8/30/2021
406, Milton Manly, 1042, 8/31/2021
407, Afton Ridgley, 60.7, 8/31/2021
408, Kenyetta Capuano, 80.97, 8/31/2021
409, Jazmin Corbin, 65.24, 8/31/2021
410, Bethany Ruddy, 21.07, 9/1/2021
411, Nora Nosal, 99, 9/1/2021
412, Ashlee Holmes, 73.43, 9/1/2021
413, Lou Ellithorpe, 51.92, 9/1/2021
414, Hanh Hennigan, 62.45, 9/1/2021
415, Angla Kroger, 69.51, 9/1/2021
416, Willis Basham, 63.62, 9/2/2021
417, Susann Calixte, 69.37, 9/2/2021
418, Sharron Moorehead, 834, 9/3/2021
419, Berna Mcevoy, 39.95, 9/3/2021
420, Aletha Dangelo, 84.57, 9/3/2021
421, Tara Dewey, 59.19, 9/3/2021
422, Vanessa Wessels, 53.07, 9/3/2021
423, Emelina Mclaren, 833, 9/4/2021
424, Apolonia Cadwallader, 1288, 9/4/2021
425, Willis Basham, 54.26, 9/4/2021
426, Ashlee Holmes, 43.22, 9/5/2021
427, Gerardo Dickson, 48.21, 9/5/2021
428, Rosalia Reddix, 79.7, 9/5/2021
429, Lanora Hackbarth, 57.65, 9/6/2021
430, Lou Ellithorpe, 1560, 9/6/2021
431, Rosalia Reddix, 65.76, 9/7/2021
432, Belia Baillie, 81.44, 9/7/2021
433, Hoyt Birkland, 1541, 9/8/2021
434, Enrique Flurry, 59.67, 9/8/2021
435, Norene Pemberton, 77.54, 9/8/2021
436, Karmen Byrum, 36.93, 9/8/2021
437, Mariam Weeks, 50.6, 9/8/2021
438, Hank Gusman, 70.63, 9/8/2021
439, Angelyn Cavalier, 743, 9/8/2021
440, Catharine Dyer, 82, 9/9/2021
441, Ramona Blasingame, 1959, 9/9/2021
442, Zoila Langevin, 55.61, 9/9/2021
443, Afton Ridgley, 1248, 9/9/2021
444, Ashlyn Wagers, 62.61, 9/10/2021
445, Angla Kroger, 88.29, 9/10/2021
446, Duane Cantwell, 48.62, 9/10/2021
447, Truman Lady, 1578, 9/10/2021
448, Marylynn Hildebrandt, 73.86, 9/10/2021
449, Leo Jelley, 510, 9/11/2021
450, Wynell Alto, 69.57, 9/11/2021
451, Truman Lady, 81.88, 9/11/2021
452, Zoila Langevin, 84.99, 9/12/2021
453, Angelyn Cavalier, 75.55, 9/12/2021
454, Hanh Hennigan, 87.29, 9/12/2021
455, Racheal Bedsole, 815, 9/12/2021
456, Alisa Fergerson, 1533, 9/13/2021
457, Lou Ellithorpe, 59.03, 9/13/2021
458, Alisa Fergerson, 66.93, 9/13/2021
459, Lisandra Defilippo, 78.23, 9/13/2021
460, Angelyn Cavalier, 84.07, 9/14/2021
461, Valencia Foxwell, 1436, 9/14/2021
462, Ashlee Holmes, 48.74, 9/14/2021
463, Gaylord Zeck, 46.52, 9/14/2021
464, Wm Harren, 1011, 9/15/2021
465, Carmina Purinton, 88.77, 9/15/2021
466, Ashlyn Wagers, 553, 9/15/2021
467, Isidro Forsberg, 55.24, 9/15/2021
468, Ashlyn Wagers, 51.81, 9/15/2021
469, Denny Kellum, 19.49, 9/15/2021
470, Ehtel Hall, 71.64, 9/15/2021
471, Rosalia Reddix, 5.29, 9/16/2021
472, Mariam Weeks, 70.88, 9/16/2021
473, Van Icenhour, 962, 9/16/2021
474, Cleta Gerken, 69.89, 9/16/2021
475, Rosalia Reddix, 79.57, 9/16/2021
476, Hanh Hennigan, 46.65, 9/16/2021
477, Belia Baillie, 744, 9/16/2021
478, Alisa Fergerson, 84.88, 9/17/2021
479, Donnie Sutera, 87.02, 9/17/2021
