123123, 314159265357950288419, 99.99, 10/5/2020
123124, John Doe, 120.60, 10/27/2020
123125, 314159265357950288419, 26.99, 11/2/2020
123126, 123123, 80.97, 11/2/2020
123127, 123123, 56.67, 11/4/2020
123128, John Doe, 100.99, 11/9/2020
123129, John Doe, 100.99, 11/13/2020
123130, 123123, 59.99, 11/20/2020
123131, Mary Sue, 25.24, 11/20/2020
123132, Mary Sue, 75.34, 11/25/2020
123133, Sam Sam, 70.48, 11/27/2020
123134, Sam Sam, 110.00, 12/7/2020
123135, Example, 120.00, 12/25/2020


123134, Multi Month, 60.00, 12/7/2020
123134, Multi Month, 70.00, 1/7/2021
123134, Multi Month, 80.00, 2/7/2021
123134, Multi Month, 90.00, 3/7/2021
123134, Multi Month, 20.00, 4/7/2021
123134, Multi Month, 66.00, 6/7/2021
